feature_id	gene_id	gene_name	gene_product	ortholog_or_alias	chrom	start	end	strand	annotation_source	display_label	YEAST-CENPK-LOWGROWTH
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1266	CENPK1137D_1266		Snx4p	YJL036W	CM001531.1	361251	362522	+	reference GFF: annotation.gff	YJL036W (CENPK1137D_1266) — Snx4p	105.83953903358322
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1267	CENPK1137D_1267		Tad2p	YJL035C	CM001531.1	362675	363409	-	reference GFF: annotation.gff	YJL035C (CENPK1137D_1267) — Tad2p	20.415511083654774
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1268	CENPK1137D_1268		Kar2p	YJL034W	CM001531.1	363753	365801	+	reference GFF: annotation.gff	YJL034W (CENPK1137D_1268) — Kar2p	433.23702965320683
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1269	CENPK1137D_1269		Hca4p	YJL033W	CM001531.1	366263	368575	+	reference GFF: annotation.gff	YJL033W (CENPK1137D_1269) — Hca4p	35.40797030012394
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1270	CENPK1137D_1270		Bet4p	YJL031C	CM001531.1	368794	369666	-	reference GFF: annotation.gff	YJL031C (CENPK1137D_1270) — Bet4p	75.82136049439053
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1271	CENPK1137D_1271		Mad2p	YJL030W	CM001531.1	370083	370673	+	reference GFF: annotation.gff	YJL030W (CENPK1137D_1271) — Mad2p	80.67802425487181
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1272	CENPK1137D_1272		Vps53p	YJL029C	CM001531.1	370811	373279	-	reference GFF: annotation.gff	YJL029C (CENPK1137D_1272) — Vps53p	23.11730150357861
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1273	CENPK1137D_1273		Prp21p	YJL203W	CM001531.1	35802	36644	+	reference GFF: annotation.gff	YJL203W (CENPK1137D_1273) — Prp21p	39.59252507027339
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1274	CENPK1137D_1274		Rnr2p	YJL026W	CM001531.1	374830	376029	+	reference GFF: annotation.gff	YJL026W (CENPK1137D_1274) — Rnr2p	591.8017825062805
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1275	CENPK1137D_1275		Rrn7p	YJL025W	CM001531.1	376388	377932	+	reference GFF: annotation.gff	YJL025W (CENPK1137D_1275) — Rrn7p	10.529150258551287
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1276	CENPK1137D_1276		Aps3p	YJL024C	CM001531.1	378352	379013	-	reference GFF: annotation.gff	YJL024C (CENPK1137D_1276) — Aps3p	93.42097982749019
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1277	CENPK1137D_1277		Pet130p	YJL023C	CM001531.1	379776	380819	-	reference GFF: annotation.gff	YJL023C (CENPK1137D_1277) — Pet130p	43.253294376128615
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1278	CENPK1137D_1278		Bbc1p	YJL020C	CM001531.1	381358	384831	-	reference GFF: annotation.gff	YJL020C (CENPK1137D_1278) — Bbc1p	61.762580744338386
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1279	CENPK1137D_1279		Mps3p	YJL019W	CM001531.1	385318	387366	+	reference GFF: annotation.gff	YJL019W (CENPK1137D_1279) — Mps3p	16.768257861774988
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1280	CENPK1137D_1280		hypothetical protein	YJL016W	CM001531.1	388009	389694	+	reference GFF: annotation.gff	YJL016W (CENPK1137D_1280) — hypothetical protein	78.76916227216155
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1281	CENPK1137D_1281		Cct3p	YJL014W	CM001531.1	389979	391583	+	reference GFF: annotation.gff	YJL014W (CENPK1137D_1281) — Cct3p	140.9363917825856
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1282	CENPK1137D_1282		Mad3p	YJL013C	CM001531.1	391914	393461	-	reference GFF: annotation.gff	YJL013C (CENPK1137D_1282) — Mad3p	41.03846079872899
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1283	CENPK1137D_1283		Vtc4p	YJL012C	CM001531.1	393655	395820	-	reference GFF: annotation.gff	YJL012C (CENPK1137D_1283) — Vtc4p	54.774160332269204
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1284	CENPK1137D_1284		Ecm25p	YJL201W	CM001531.1	36840	38639	+	reference GFF: annotation.gff	YJL201W (CENPK1137D_1284) — Ecm25p	33.89070239471196
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1285	CENPK1137D_1285		Rpc17p	YJL011C	CM001531.1	396706	397191	-	reference GFF: annotation.gff	YJL011C (CENPK1137D_1285) — Rpc17p	43.86025341844375
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1286	CENPK1137D_1286		Nop9p	YJL010C	CM001531.1	399983	401983	-	reference GFF: annotation.gff	YJL010C (CENPK1137D_1286) — Nop9p	24.178860210258232
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1287	CENPK1137D_1287		Cct8p	YJL008C	CM001531.1	402377	404083	-	reference GFF: annotation.gff	YJL008C (CENPK1137D_1287) — Cct8p	154.36792873077695
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1288	CENPK1137D_1288		Ctk2p	YJL006C	CM001531.1	405558	406529	-	reference GFF: annotation.gff	YJL006C (CENPK1137D_1288) — Ctk2p	23.084343904444076
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1289	CENPK1137D_1289		Cyr1p	YJL005W	CM001531.1	407646	413726	+	reference GFF: annotation.gff	YJL005W (CENPK1137D_1289) — Cyr1p	19.90213236251053
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1290	CENPK1137D_1290		Sys1p	YJL004C	CM001531.1	414078	414689	-	reference GFF: annotation.gff	YJL004C (CENPK1137D_1290) — Sys1p	92.5750085697338
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1291	CENPK1137D_1291		Cox16p	YJL003W	CM001531.1	415133	415489	+	reference GFF: annotation.gff	YJL003W (CENPK1137D_1291) — Cox16p	119.4178328367712
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1292	CENPK1137D_1292		Ost1p	YJL002C	CM001531.1	415710	417140	-	reference GFF: annotation.gff	YJL002C (CENPK1137D_1292) — Ost1p	136.90540373140348
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1293	CENPK1137D_1293		Pre3p	YJL001W	CM001531.1	417652	418415	+	reference GFF: annotation.gff	YJL001W (CENPK1137D_1293) — Pre3p	365.27801642251376
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1294	CENPK1137D_1294		Avt1p	YJR001W	CM001531.1	419227	421035	+	reference GFF: annotation.gff	YJR001W (CENPK1137D_1294) — Avt1p	63.955691600931814
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1295	CENPK1137D_1295		Aco2p	YJL200C	CM001531.1	38905	41274	-	reference GFF: annotation.gff	YJL200C (CENPK1137D_1295) — Aco2p	83.96491784914234
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1296	CENPK1137D_1296		Mpp10p	YJR002W	CM001531.1	421290	423071	+	reference GFF: annotation.gff	YJR002W (CENPK1137D_1296) — Mpp10p	52.56934680057491
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1297	CENPK1137D_1297		hypothetical protein	YJR003C	CM001531.1	423419	424978	-	reference GFF: annotation.gff	YJR003C (CENPK1137D_1297) — hypothetical protein	28.496956655500504
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1298	CENPK1137D_1298		Sag1p	YJR004C	CM001531.1	425334	427286	-	reference GFF: annotation.gff	YJR004C (CENPK1137D_1298) — Sag1p	31.163864270999504
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1299	CENPK1137D_1299		Apl1p	YJR005W	CM001531.1	428348	430450	+	reference GFF: annotation.gff	YJR005W (CENPK1137D_1299) — Apl1p	31.475058350738436
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1300	CENPK1137D_1300		hypothetical protein	YJR005C-A	CM001531.1	430902	431183	-	reference GFF: annotation.gff	YJR005C-A (CENPK1137D_1300) — hypothetical protein	53.707936296828926
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1301	CENPK1137D_1301		Pol31p	YJR006W	CM001531.1	431627	433090	+	reference GFF: annotation.gff	YJR006W (CENPK1137D_1301) — Pol31p	46.745796406499245
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1302	CENPK1137D_1302		Sui2p	YJR007W	CM001531.1	433445	434359	+	reference GFF: annotation.gff	YJR007W (CENPK1137D_1302) — Sui2p	152.4985817195631
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1303	CENPK1137D_1303		hypothetical protein	YJR008W	CM001531.1	434855	435871	+	reference GFF: annotation.gff	YJR008W (CENPK1137D_1303) — hypothetical protein	474.4905175066783
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1304	CENPK1137D_1304		Tdh2p	YJR009C	CM001531.1	436108	437106	-	reference GFF: annotation.gff	YJR009C (CENPK1137D_1304) — Tdh2p	1131.0236686101036
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1305	CENPK1137D_1305		Met3p	YJR010W	CM001531.1	438714	440249	+	reference GFF: annotation.gff	YJR010W (CENPK1137D_1305) — Met3p	160.23217322930896
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1306	CENPK1137D_1306		hypothetical protein	YJL218W	CM001531.1	4440	5030	+	reference GFF: annotation.gff	YJL218W (CENPK1137D_1306) — hypothetical protein	8.779667345383109
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1307	CENPK1137D_1307		hypothetical protein		CM001531.1	42319	42612	-	reference GFF: annotation.gff	CENPK1137D_1307 — hypothetical protein	72.50368422232536
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1308	CENPK1137D_1308		Spc1p	YJR010C-A	CM001531.1	440562	440846	-	reference GFF: annotation.gff	YJR010C-A (CENPK1137D_1308) — Spc1p	89.06304367975122
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1309	CENPK1137D_1309		hypothetical protein	YJR011C	CM001531.1	441126	441911	-	reference GFF: annotation.gff	YJR011C (CENPK1137D_1309) — hypothetical protein	44.24792942294586
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1310	CENPK1137D_1310		hypothetical protein	YJR012C	CM001531.1	442280	442678	-	reference GFF: annotation.gff	YJR012C (CENPK1137D_1310) — hypothetical protein	72.05179145362666
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1311	CENPK1137D_1311		Gpi14p	YJR013W	CM001531.1	442867	444078	+	reference GFF: annotation.gff	YJR013W (CENPK1137D_1311) — Gpi14p	41.77037748204513
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1312	CENPK1137D_1312		Tma22p	YJR014W	CM001531.1	444313	444909	+	reference GFF: annotation.gff	YJR014W (CENPK1137D_1312) — Tma22p	166.78148466640437
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1313	CENPK1137D_1313		hypothetical protein	YJR015W	CM001531.1	445205	446737	+	reference GFF: annotation.gff	YJR015W (CENPK1137D_1313) — hypothetical protein	55.253348394374854
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1314	CENPK1137D_1314		Ilv3p	YJR016C	CM001531.1	446935	448692	-	reference GFF: annotation.gff	YJR016C (CENPK1137D_1314) — Ilv3p	265.1587495822585
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1315	CENPK1137D_1315		Ess1p	YJR017C	CM001531.1	449005	449517	-	reference GFF: annotation.gff	YJR017C (CENPK1137D_1315) — Ess1p	167.84747949468152
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1316	CENPK1137D_1316		Tes1p	YJR019C	CM001531.1	449716	450765	-	reference GFF: annotation.gff	YJR019C (CENPK1137D_1316) — Tes1p	257.23543965405014
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1317	CENPK1137D_1317		Rec107p	YJR021C	CM001531.1	451039	452063	-	reference GFF: annotation.gff	YJR021C (CENPK1137D_1317) — Rec107p	51.85362976994113
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1318	CENPK1137D_1318		Pho90p	YJL198W	CM001531.1	43309	45954	+	reference GFF: annotation.gff	YJL198W (CENPK1137D_1318) — Pho90p	19.980912976474173
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1319	CENPK1137D_1319		Lsm8p	YJR022W	CM001531.1	452210	452596	+	reference GFF: annotation.gff	YJR022W (CENPK1137D_1319) — Lsm8p	36.23705147790639
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1320	CENPK1137D_1320		Mde1p	YJR024C	CM001531.1	452710	453444	-	reference GFF: annotation.gff	YJR024C (CENPK1137D_1320) — Mde1p	172.673247950538
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1321	CENPK1137D_1321		Bna1p	YJR025C	CM001531.1	453617	454150	-	reference GFF: annotation.gff	YJR025C (CENPK1137D_1321) — Bna1p	232.94113153126312
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1322	CENPK1137D_1322		hypothetical protein	YJR030C	CM001531.1	466327	468564	-	reference GFF: annotation.gff	YJR030C (CENPK1137D_1322) — hypothetical protein	11.404470436974348
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1323	CENPK1137D_1323		Gea1p	YJR031C	CM001531.1	468954	473180	-	reference GFF: annotation.gff	YJR031C (CENPK1137D_1323) — Gea1p	12.374863065737557
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1324	CENPK1137D_1324		Cpr7p	YJR032W	CM001531.1	473449	474630	+	reference GFF: annotation.gff	YJR032W (CENPK1137D_1324) — Cpr7p	34.406804461636504
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1325	CENPK1137D_1325		Rav1p	YJR033C	CM001531.1	474746	478819	-	reference GFF: annotation.gff	YJR033C (CENPK1137D_1325) — Rav1p	16.522814635581476
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1326	CENPK1137D_1326		Pet191p	YJR034W	CM001531.1	479051	479377	+	reference GFF: annotation.gff	YJR034W (CENPK1137D_1326) — Pet191p	99.49564005786996
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1327	CENPK1137D_1327		Rad26p	YJR035W	CM001531.1	479723	482980	+	reference GFF: annotation.gff	YJR035W (CENPK1137D_1327) — Rad26p	17.605000672429277
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1328	CENPK1137D_1328		Hul4p	YJR036C	CM001531.1	483081	485759	-	reference GFF: annotation.gff	YJR036C (CENPK1137D_1328) — Hul4p	11.725709288976297
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1329	CENPK1137D_1329		Ubp12p	YJL197W	CM001531.1	46270	50034	+	reference GFF: annotation.gff	YJL197W (CENPK1137D_1329) — Ubp12p	15.495020960241982
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1330	CENPK1137D_1330		hypothetical protein	YJR039W	CM001531.1	486304	489669	+	reference GFF: annotation.gff	YJR039W (CENPK1137D_1330) — hypothetical protein	19.3315949488553
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1331	CENPK1137D_1331		Gef1p	YJR040W	CM001531.1	490114	492453	+	reference GFF: annotation.gff	YJR040W (CENPK1137D_1331) — Gef1p	18.938040595453543
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1332	CENPK1137D_1332		Urb2p	YJR041C	CM001531.1	492607	496131	-	reference GFF: annotation.gff	YJR041C (CENPK1137D_1332) — Urb2p	6.285817729554793
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1333	CENPK1137D_1333		Nup85p	YJR042W	CM001531.1	496423	498657	+	reference GFF: annotation.gff	YJR042W (CENPK1137D_1333) — Nup85p	38.46331972776382
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1334	CENPK1137D_1334		Pol32p	YJR043C	CM001531.1	498829	499881	-	reference GFF: annotation.gff	YJR043C (CENPK1137D_1334) — Pol32p	21.042267328281717
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1335	CENPK1137D_1335		Vps55p	YJR044C	CM001531.1	501133	501555	-	reference GFF: annotation.gff	YJR044C (CENPK1137D_1335) — Vps55p	263.5667244196234
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1336	CENPK1137D_1336		Ssc1p	YJR045C	CM001531.1	501994	503961	-	reference GFF: annotation.gff	YJR045C (CENPK1137D_1336) — Ssc1p	837.3625816658122
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1337	CENPK1137D_1337		Tah11p	YJR046W	CM001531.1	504405	506219	+	reference GFF: annotation.gff	YJR046W (CENPK1137D_1337) — Tah11p	64.90325451480888
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1338	CENPK1137D_1338		Anb1p	YJR047C	CM001531.1	507258	507731	-	reference GFF: annotation.gff	YJR047C (CENPK1137D_1338) — Anb1p	5.325470476689788
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1339	CENPK1137D_1339		Cyc1p	YJR048W	CM001531.1	508700	509029	+	reference GFF: annotation.gff	YJR048W (CENPK1137D_1339) — Cyc1p	765.3561757100467
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1340	CENPK1137D_1340		Elo1p	YJL196C	CM001531.1	50315	51247	-	reference GFF: annotation.gff	YJL196C (CENPK1137D_1340) — Elo1p	115.88748884054958
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1341	CENPK1137D_1341		Utr1p	YJR049C	CM001531.1	509247	510839	-	reference GFF: annotation.gff	YJR049C (CENPK1137D_1341) — Utr1p	58.71835443151601
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1342	CENPK1137D_1342		Isy1p	YJR050W	CM001531.1	511060	511767	+	reference GFF: annotation.gff	YJR050W (CENPK1137D_1342) — Isy1p	53.480360295571174
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1343	CENPK1137D_1343		Osm1p	YJR051W	CM001531.1	512225	513730	+	reference GFF: annotation.gff	YJR051W (CENPK1137D_1343) — Osm1p	67.23200200297303
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1344	CENPK1137D_1344		Rad7p	YJR052W	CM001531.1	514426	516123	+	reference GFF: annotation.gff	YJR052W (CENPK1137D_1344) — Rad7p	38.239052537472006
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1345	CENPK1137D_1345		Bfa1p	YJR053W	CM001531.1	516390	518114	+	reference GFF: annotation.gff	YJR053W (CENPK1137D_1345) — Bfa1p	3.9022577869773287
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1346	CENPK1137D_1346		hypothetical protein	YJR054W	CM001531.1	518419	519912	+	reference GFF: annotation.gff	YJR054W (CENPK1137D_1346) — hypothetical protein	11.076313204752834
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1347	CENPK1137D_1347		Hit1p	YJR055W	CM001531.1	520798	521292	+	reference GFF: annotation.gff	YJR055W (CENPK1137D_1347) — Hit1p	29.464017128944985
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1348	CENPK1137D_1348		hypothetical protein	YJR056C	CM001531.1	524253	524963	-	reference GFF: annotation.gff	YJR056C (CENPK1137D_1348) — hypothetical protein	43.39272240265753
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1349	CENPK1137D_1349		Cdc8p	YJR057W	CM001531.1	526420	527070	+	reference GFF: annotation.gff	YJR057W (CENPK1137D_1349) — Cdc8p	56.87046198763043
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1350	CENPK1137D_1350		Aps2p	YJR058C	CM001531.1	527090	527533	-	reference GFF: annotation.gff	YJR058C (CENPK1137D_1350) — Aps2p	83.70024356569122
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1351	CENPK1137D_1351		Cdc6p	YJL194W	CM001531.1	51803	53344	+	reference GFF: annotation.gff	YJL194W (CENPK1137D_1351) — Cdc6p	15.6425622216301
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1352	CENPK1137D_1352		Ptk2p	YJR059W	CM001531.1	528145	530601	+	reference GFF: annotation.gff	YJR059W (CENPK1137D_1352) — Ptk2p	52.73884722784532
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1353	CENPK1137D_1353		Cbf1p	YJR060W	CM001531.1	531116	532171	+	reference GFF: annotation.gff	YJR060W (CENPK1137D_1353) — Cbf1p	44.88658859487712
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1354	CENPK1137D_1354		hypothetical protein	YJR061W	CM001531.1	532869	535676	+	reference GFF: annotation.gff	YJR061W (CENPK1137D_1354) — hypothetical protein	42.300950380667594
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1355	CENPK1137D_1355		Nta1p	YJR062C	CM001531.1	535834	537207	-	reference GFF: annotation.gff	YJR062C (CENPK1137D_1355) — Nta1p	27.659630624806322
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1356	CENPK1137D_1356		Rpa12p	YJR063W	CM001531.1	537555	537932	+	reference GFF: annotation.gff	YJR063W (CENPK1137D_1356) — Rpa12p	71.9736865306417
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1357	CENPK1137D_1357		Cct5p	YJR064W	CM001531.1	538274	539962	+	reference GFF: annotation.gff	YJR064W (CENPK1137D_1357) — Cct5p	113.33572308147687
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1358	CENPK1137D_1358		Arp3p	YJR065C	CM001531.1	540169	541518	-	reference GFF: annotation.gff	YJR065C (CENPK1137D_1358) — Arp3p	163.29864878003738
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1359	CENPK1137D_1359		Tor1p	YJR066W	CM001531.1	541776	549188	+	reference GFF: annotation.gff	YJR066W (CENPK1137D_1359) — Tor1p	7.888707851683605
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1360	CENPK1137D_1360		Yae1p	YJR067C	CM001531.1	549382	549807	-	reference GFF: annotation.gff	YJR067C (CENPK1137D_1360) — Yae1p	67.81432436435807
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1361	CENPK1137D_1361		Rfc2p	YJR068W	CM001531.1	550006	551067	+	reference GFF: annotation.gff	YJR068W (CENPK1137D_1361) — Rfc2p	62.327728541999
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1362	CENPK1137D_1362		hypothetical protein	YJL193W	CM001531.1	53831	55039	+	reference GFF: annotation.gff	YJL193W (CENPK1137D_1362) — hypothetical protein	10.903486010448956
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1363	CENPK1137D_1363		Ham1p	YJR069C	CM001531.1	551167	551760	-	reference GFF: annotation.gff	YJR069C (CENPK1137D_1363) — Ham1p	60.67509937611267
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1364	CENPK1137D_1364		Lia1p	YJR070C	CM001531.1	551982	552959	-	reference GFF: annotation.gff	YJR070C (CENPK1137D_1364) — Lia1p	107.25722611061792
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1365	CENPK1137D_1365		Npa3p	YJR072C	CM001531.1	553327	554484	-	reference GFF: annotation.gff	YJR072C (CENPK1137D_1365) — Npa3p	120.98199639920404
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1366	CENPK1137D_1366		Opi3p	YJR073C	CM001531.1	554675	555295	-	reference GFF: annotation.gff	YJR073C (CENPK1137D_1366) — Opi3p	522.7851144011872
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1367	CENPK1137D_1367		Mog1p	YJR074W	CM001531.1	555455	556111	+	reference GFF: annotation.gff	YJR074W (CENPK1137D_1367) — Mog1p	137.67597571777176
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1368	CENPK1137D_1368		Hoc1p	YJR075W	CM001531.1	556341	557531	+	reference GFF: annotation.gff	YJR075W (CENPK1137D_1368) — Hoc1p	117.51210280525504
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1369	CENPK1137D_1369		Cdc11p	YJR076C	CM001531.1	557714	558961	-	reference GFF: annotation.gff	YJR076C (CENPK1137D_1369) — Cdc11p	92.25552608109588
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1370	CENPK1137D_1370		Mir1p	YJR077C	CM001531.1	559616	560551	-	reference GFF: annotation.gff	YJR077C (CENPK1137D_1370) — Mir1p	474.4997987800741
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1371	CENPK1137D_1371		Bna2p	YJR078W	CM001531.1	561269	562582	+	reference GFF: annotation.gff	YJR078W (CENPK1137D_1371) — Bna2p	80.04417192893706
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1372	CENPK1137D_1372		Aim24p	YJR080C	CM001531.1	562790	563974	-	reference GFF: annotation.gff	YJR080C (CENPK1137D_1372) — Aim24p	84.37912110844042
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1373	CENPK1137D_1373		Sop4p	YJL192C	CM001531.1	55175	55879	-	reference GFF: annotation.gff	YJL192C (CENPK1137D_1373) — Sop4p	103.23858865946005
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1374	CENPK1137D_1374		Eaf6p	YJR082C	CM001531.1	564272	564613	-	reference GFF: annotation.gff	YJR082C (CENPK1137D_1374) — Eaf6p	256.2817785444038
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1375	CENPK1137D_1375		Acf4p	YJR083C	CM001531.1	564964	565893	-	reference GFF: annotation.gff	YJR083C (CENPK1137D_1375) — Acf4p	28.349063627167286
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1376	CENPK1137D_1376		hypothetical protein	YJR084W	CM001531.1	566089	567360	+	reference GFF: annotation.gff	YJR084W (CENPK1137D_1376) — hypothetical protein	29.32637227388868
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1377	CENPK1137D_1377		hypothetical protein	YJR085C	CM001531.1	567477	567794	-	reference GFF: annotation.gff	YJR085C (CENPK1137D_1377) — hypothetical protein	806.1444889724589
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1378	CENPK1137D_1378		Ste18p	YJR086W	CM001531.1	568425	568757	+	reference GFF: annotation.gff	YJR086W (CENPK1137D_1378) — Ste18p	138.97398931661937
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1379	CENPK1137D_1379		Emc2p	YJR088C	CM001531.1	568851	569729	-	reference GFF: annotation.gff	YJR088C (CENPK1137D_1379) — Emc2p	69.71983969160469
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1380	CENPK1137D_1380		Bir1p	YJR089W	CM001531.1	570074	572938	+	reference GFF: annotation.gff	YJR089W (CENPK1137D_1380) — Bir1p	24.767929823757715
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1381	CENPK1137D_1381		Grr1p	YJR090C	CM001531.1	573228	576671	-	reference GFF: annotation.gff	YJR090C (CENPK1137D_1381) — Grr1p	20.848299442619872
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1382	CENPK1137D_1382		Jsn1p	YJR091C	CM001531.1	577405	580680	-	reference GFF: annotation.gff	YJR091C (CENPK1137D_1382) — Jsn1p	52.0539271339772
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1383	CENPK1137D_1383		Bud4p	YJR092W	CM001531.1	581079	585422	+	reference GFF: annotation.gff	YJR092W (CENPK1137D_1383) — Bud4p	12.55809033296147
